command,language,intent,action
jarvis what's my rank projection,en,query.rank,core.queryRank()
what's my rank projection jarvis,en,query.rank,core.queryRank()
tell me my projected rank,en,query.rank,core.queryRank()
jarvis tell me my projected rank,en,query.rank,core.queryRank()
tell me my projected rank jarvis,en,query.rank,core.queryRank()
where do i stand,en,query.rank,core.queryRank()
jarvis where do i stand,en,query.rank,core.queryRank()
where do i stand jarvis,en,query.rank,core.queryRank()
मेरी रैंक प्रोजेक्शन बताओ,hi,query.rank,core.queryRank()
jarvis मेरी रैंक प्रोजेक्शन बताओ,hi,query.rank,core.queryRank()
मेरी रैंक प्रोजेक्शन बताओ jarvis,hi,query.rank,core.queryRank()
अनुमानित रैंक क्या है,hi,query.rank,core.queryRank()
jarvis अनुमानित रैंक क्या है,hi,query.rank,core.queryRank()
अनुमानित रैंक क्या है jarvis,hi,query.rank,core.queryRank()
मैं कहाँ खड़ा हूँ,hi,query.rank,core.queryRank()
jarvis मैं कहाँ खड़ा हूँ,hi,query.rank,core.queryRank()
मैं कहाँ खड़ा हूँ jarvis,hi,query.rank,core.queryRank()
meri rank projection batao,hinglish,query.rank,core.queryRank()
jarvis meri rank projection batao,hinglish,query.rank,core.queryRank()
meri rank projection batao jarvis,hinglish,query.rank,core.queryRank()
projected rank kya hai,hinglish,query.rank,core.queryRank()
jarvis projected rank kya hai,hinglish,query.rank,core.queryRank()
projected rank kya hai jarvis,hinglish,query.rank,core.queryRank()
main kahan hoon abhi,hinglish,query.rank,core.queryRank()
jarvis main kahan hoon abhi,hinglish,query.rank,core.queryRank()
main kahan hoon abhi jarvis,hinglish,query.rank,core.queryRank()
what's my selection probability,en,query.selprob,core.querySelectionProbability()
jarvis what's my selection probability,en,query.selprob,core.querySelectionProbability()
what's my selection probability jarvis,en,query.selprob,core.querySelectionProbability()
what are my chances,en,query.selprob,core.querySelectionProbability()
jarvis what are my chances,en,query.selprob,core.querySelectionProbability()
what are my chances jarvis,en,query.selprob,core.querySelectionProbability()
selection chance batao,en,query.selprob,core.querySelectionProbability()
jarvis selection chance batao,en,query.selprob,core.querySelectionProbability()
selection chance batao jarvis,en,query.selprob,core.querySelectionProbability()
मेरा सिलेक्शन चांस कितना है,hi,query.selprob,core.querySelectionProbability()
jarvis मेरा सिलेक्शन चांस कितना है,hi,query.selprob,core.querySelectionProbability()
मेरा सिलेक्शन चांस कितना है jarvis,hi,query.selprob,core.querySelectionProbability()
चयन की संभावना क्या है,hi,query.selprob,core.querySelectionProbability()
jarvis चयन की संभावना क्या है,hi,query.selprob,core.querySelectionProbability()
चयन की संभावना क्या है jarvis,hi,query.selprob,core.querySelectionProbability()
मौका कितना है,hi,query.selprob,core.querySelectionProbability()
jarvis मौका कितना है,hi,query.selprob,core.querySelectionProbability()
मौका कितना है jarvis,hi,query.selprob,core.querySelectionProbability()
mera selection probability kitna hai,hinglish,query.selprob,core.querySelectionProbability()
jarvis mera selection probability kitna hai,hinglish,query.selprob,core.querySelectionProbability()
mera selection probability kitna hai jarvis,hinglish,query.selprob,core.querySelectionProbability()
chances kya hai,hinglish,query.selprob,core.querySelectionProbability()
jarvis chances kya hai,hinglish,query.selprob,core.querySelectionProbability()
chances kya hai jarvis,hinglish,query.selprob,core.querySelectionProbability()
selize chance batao,hinglish,query.selprob,core.querySelectionProbability()
jarvis selize chance batao,hinglish,query.selprob,core.querySelectionProbability()
selize chance batao jarvis,hinglish,query.selprob,core.querySelectionProbability()
how many hours did i study today,en,query.hours,core.queryHours(p)
jarvis how many hours did i study today,en,query.hours,core.queryHours(p)
how many hours did i study today jarvis,en,query.hours,core.queryHours(p)
how many hours did i study this week,en,query.hours,core.queryHours(p)
jarvis how many hours did i study this week,en,query.hours,core.queryHours(p)
how many hours did i study this week jarvis,en,query.hours,core.queryHours(p)
my study hours today,en,query.hours,core.queryHours(p)
jarvis my study hours today,en,query.hours,core.queryHours(p)
my study hours today jarvis,en,query.hours,core.queryHours(p)
my study hours this week,en,query.hours,core.queryHours(p)
jarvis my study hours this week,en,query.hours,core.queryHours(p)
my study hours this week jarvis,en,query.hours,core.queryHours(p)
total hours today,en,query.hours,core.queryHours(p)
jarvis total hours today,en,query.hours,core.queryHours(p)
total hours today jarvis,en,query.hours,core.queryHours(p)
total hours this week,en,query.hours,core.queryHours(p)
jarvis total hours this week,en,query.hours,core.queryHours(p)
total hours this week jarvis,en,query.hours,core.queryHours(p)
today कितने घंटे पढ़ा,hi,query.hours,core.queryHours(p)
jarvis today कितने घंटे पढ़ा,hi,query.hours,core.queryHours(p)
today कितने घंटे पढ़ा jarvis,hi,query.hours,core.queryHours(p)
this week कितने घंटे पढ़ा,hi,query.hours,core.queryHours(p)
jarvis this week कितने घंटे पढ़ा,hi,query.hours,core.queryHours(p)
this week कितने घंटे पढ़ा jarvis,hi,query.hours,core.queryHours(p)
today की पढ़ाई के घंटे,hi,query.hours,core.queryHours(p)
jarvis today की पढ़ाई के घंटे,hi,query.hours,core.queryHours(p)
today की पढ़ाई के घंटे jarvis,hi,query.hours,core.queryHours(p)
this week की पढ़ाई के घंटे,hi,query.hours,core.queryHours(p)
jarvis this week की पढ़ाई के घंटे,hi,query.hours,core.queryHours(p)
this week की पढ़ाई के घंटे jarvis,hi,query.hours,core.queryHours(p)
today कुल घंटे,hi,query.hours,core.queryHours(p)
jarvis today कुल घंटे,hi,query.hours,core.queryHours(p)
today कुल घंटे jarvis,hi,query.hours,core.queryHours(p)
this week कुल घंटे,hi,query.hours,core.queryHours(p)
jarvis this week कुल घंटे,hi,query.hours,core.queryHours(p)
this week कुल घंटे jarvis,hi,query.hours,core.queryHours(p)
today kitne ghante padha,hinglish,query.hours,core.queryHours(p)
jarvis today kitne ghante padha,hinglish,query.hours,core.queryHours(p)
today kitne ghante padha jarvis,hinglish,query.hours,core.queryHours(p)
this week kitne ghante padha,hinglish,query.hours,core.queryHours(p)
jarvis this week kitne ghante padha,hinglish,query.hours,core.queryHours(p)
this week kitne ghante padha jarvis,hinglish,query.hours,core.queryHours(p)
today study hours batao,hinglish,query.hours,core.queryHours(p)
jarvis today study hours batao,hinglish,query.hours,core.queryHours(p)
today study hours batao jarvis,hinglish,query.hours,core.queryHours(p)
this week study hours batao,hinglish,query.hours,core.queryHours(p)
jarvis this week study hours batao,hinglish,query.hours,core.queryHours(p)
this week study hours batao jarvis,hinglish,query.hours,core.queryHours(p)
today total hours,hinglish,query.hours,core.queryHours(p)
jarvis today total hours,hinglish,query.hours,core.queryHours(p)
today total hours jarvis,hinglish,query.hours,core.queryHours(p)
this week total hours,hinglish,query.hours,core.queryHours(p)
jarvis this week total hours,hinglish,query.hours,core.queryHours(p)
this week total hours jarvis,hinglish,query.hours,core.queryHours(p)
how many lectures are left,en,query.backlog,core.queryBacklog()
jarvis how many lectures are left,en,query.backlog,core.queryBacklog()
how many lectures are left jarvis,en,query.backlog,core.queryBacklog()
what's my backlog,en,query.backlog,core.queryBacklog()
jarvis what's my backlog,en,query.backlog,core.queryBacklog()
what's my backlog jarvis,en,query.backlog,core.queryBacklog()
pending lectures count,en,query.backlog,core.queryBacklog()
jarvis pending lectures count,en,query.backlog,core.queryBacklog()
pending lectures count jarvis,en,query.backlog,core.queryBacklog()
कितने लेक्चर बचे हैं,hi,query.backlog,core.queryBacklog()
jarvis कितने लेक्चर बचे हैं,hi,query.backlog,core.queryBacklog()
कितने लेक्चर बचे हैं jarvis,hi,query.backlog,core.queryBacklog()
बैकलॉग कितना है,hi,query.backlog,core.queryBacklog()
jarvis बैकलॉग कितना है,hi,query.backlog,core.queryBacklog()
बैकलॉग कितना है jarvis,hi,query.backlog,core.queryBacklog()
कितने पेंडिंग हैं,hi,query.backlog,core.queryBacklog()
jarvis कितने पेंडिंग हैं,hi,query.backlog,core.queryBacklog()
कितने पेंडिंग हैं jarvis,hi,query.backlog,core.queryBacklog()
kitne lecture bache hai,hinglish,query.backlog,core.queryBacklog()
jarvis kitne lecture bache hai,hinglish,query.backlog,core.queryBacklog()
kitne lecture bache hai jarvis,hinglish,query.backlog,core.queryBacklog()
backlog kitna hai,hinglish,query.backlog,core.queryBacklog()
jarvis backlog kitna hai,hinglish,query.backlog,core.queryBacklog()
backlog kitna hai jarvis,hinglish,query.backlog,core.queryBacklog()
pending kitne hai,hinglish,query.backlog,core.queryBacklog()
jarvis pending kitne hai,hinglish,query.backlog,core.queryBacklog()
pending kitne hai jarvis,hinglish,query.backlog,core.queryBacklog()
what's my streak,en,query.streak,core.queryStreak()
jarvis what's my streak,en,query.streak,core.queryStreak()
what's my streak jarvis,en,query.streak,core.queryStreak()
how many days streak,en,query.streak,core.queryStreak()
jarvis how many days streak,en,query.streak,core.queryStreak()
how many days streak jarvis,en,query.streak,core.queryStreak()
streak batao,en,query.streak,core.queryStreak()
jarvis streak batao,en,query.streak,core.queryStreak()
streak batao jarvis,en,query.streak,core.queryStreak()
मेरी स्ट्रीक क्या है,hi,query.streak,core.queryStreak()
jarvis मेरी स्ट्रीक क्या है,hi,query.streak,core.queryStreak()
मेरी स्ट्रीक क्या है jarvis,hi,query.streak,core.queryStreak()
कितने दिन की स्ट्रीक,hi,query.streak,core.queryStreak()
jarvis कितने दिन की स्ट्रीक,hi,query.streak,core.queryStreak()
कितने दिन की स्ट्रीक jarvis,hi,query.streak,core.queryStreak()
लगातार कितने दिन,hi,query.streak,core.queryStreak()
jarvis लगातार कितने दिन,hi,query.streak,core.queryStreak()
लगातार कितने दिन jarvis,hi,query.streak,core.queryStreak()
meri streak kya hai,hinglish,query.streak,core.queryStreak()
jarvis meri streak kya hai,hinglish,query.streak,core.queryStreak()
meri streak kya hai jarvis,hinglish,query.streak,core.queryStreak()
kitne din ki streak,hinglish,query.streak,core.queryStreak()
jarvis kitne din ki streak,hinglish,query.streak,core.queryStreak()
kitne din ki streak jarvis,hinglish,query.streak,core.queryStreak()
what's my consistency,en,query.consistency,core.queryConsistency()
jarvis what's my consistency,en,query.consistency,core.queryConsistency()
what's my consistency jarvis,en,query.consistency,core.queryConsistency()
consistency score,en,query.consistency,core.queryConsistency()
jarvis consistency score,en,query.consistency,core.queryConsistency()
consistency score jarvis,en,query.consistency,core.queryConsistency()
how consistent am i,en,query.consistency,core.queryConsistency()
jarvis how consistent am i,en,query.consistency,core.queryConsistency()
how consistent am i jarvis,en,query.consistency,core.queryConsistency()
मेरी कंसिस्टेंसी क्या है,hi,query.consistency,core.queryConsistency()
jarvis मेरी कंसिस्टेंसी क्या है,hi,query.consistency,core.queryConsistency()
मेरी कंसिस्टेंसी क्या है jarvis,hi,query.consistency,core.queryConsistency()
कंसिस्टेंसी स्कोर,hi,query.consistency,core.queryConsistency()
jarvis कंसिस्टेंसी स्कोर,hi,query.consistency,core.queryConsistency()
कंसिस्टेंसी स्कोर jarvis,hi,query.consistency,core.queryConsistency()
कितना नियमित हूँ,hi,query.consistency,core.queryConsistency()
jarvis कितना नियमित हूँ,hi,query.consistency,core.queryConsistency()
कितना नियमित हूँ jarvis,hi,query.consistency,core.queryConsistency()
meri consistency kya hai,hinglish,query.consistency,core.queryConsistency()
jarvis meri consistency kya hai,hinglish,query.consistency,core.queryConsistency()
meri consistency kya hai jarvis,hinglish,query.consistency,core.queryConsistency()
consistency score batao,hinglish,query.consistency,core.queryConsistency()
jarvis consistency score batao,hinglish,query.consistency,core.queryConsistency()
consistency score batao jarvis,hinglish,query.consistency,core.queryConsistency()
kitna regular hoon,hinglish,query.consistency,core.queryConsistency()
jarvis kitna regular hoon,hinglish,query.consistency,core.queryConsistency()
kitna regular hoon jarvis,hinglish,query.consistency,core.queryConsistency()
mark today as College,en,routine.setType,routine.setDayType(t)
jarvis mark today as College,en,routine.setType,routine.setDayType(t)
mark today as College jarvis,en,routine.setType,routine.setDayType(t)
mark today as Holiday,en,routine.setType,routine.setDayType(t)
jarvis mark today as Holiday,en,routine.setType,routine.setDayType(t)
mark today as Holiday jarvis,en,routine.setType,routine.setDayType(t)
today is College,en,routine.setType,routine.setDayType(t)
jarvis today is College,en,routine.setType,routine.setDayType(t)
today is College jarvis,en,routine.setType,routine.setDayType(t)
today is Holiday,en,routine.setType,routine.setDayType(t)
jarvis today is Holiday,en,routine.setType,routine.setDayType(t)
today is Holiday jarvis,en,routine.setType,routine.setDayType(t)
set day type College,en,routine.setType,routine.setDayType(t)
jarvis set day type College,en,routine.setType,routine.setDayType(t)
set day type College jarvis,en,routine.setType,routine.setDayType(t)
set day type Holiday,en,routine.setType,routine.setDayType(t)
jarvis set day type Holiday,en,routine.setType,routine.setDayType(t)
set day type Holiday jarvis,en,routine.setType,routine.setDayType(t)
आज College है,hi,routine.setType,routine.setDayType(t)
jarvis आज College है,hi,routine.setType,routine.setDayType(t)
आज College है jarvis,hi,routine.setType,routine.setDayType(t)
आज Holiday है,hi,routine.setType,routine.setDayType(t)
jarvis आज Holiday है,hi,routine.setType,routine.setDayType(t)
आज Holiday है jarvis,hi,routine.setType,routine.setDayType(t)
आज को College मार्क करो,hi,routine.setType,routine.setDayType(t)
jarvis आज को College मार्क करो,hi,routine.setType,routine.setDayType(t)
आज को College मार्क करो jarvis,hi,routine.setType,routine.setDayType(t)
आज को Holiday मार्क करो,hi,routine.setType,routine.setDayType(t)
jarvis आज को Holiday मार्क करो,hi,routine.setType,routine.setDayType(t)
आज को Holiday मार्क करो jarvis,hi,routine.setType,routine.setDayType(t)
दिन College सेट करो,hi,routine.setType,routine.setDayType(t)
jarvis दिन College सेट करो,hi,routine.setType,routine.setDayType(t)
दिन College सेट करो jarvis,hi,routine.setType,routine.setDayType(t)
दिन Holiday सेट करो,hi,routine.setType,routine.setDayType(t)
jarvis दिन Holiday सेट करो,hi,routine.setType,routine.setDayType(t)
दिन Holiday सेट करो jarvis,hi,routine.setType,routine.setDayType(t)
aaj College hai,hinglish,routine.setType,routine.setDayType(t)
jarvis aaj College hai,hinglish,routine.setType,routine.setDayType(t)
aaj College hai jarvis,hinglish,routine.setType,routine.setDayType(t)
aaj Holiday hai,hinglish,routine.setType,routine.setDayType(t)
jarvis aaj Holiday hai,hinglish,routine.setType,routine.setDayType(t)
aaj Holiday hai jarvis,hinglish,routine.setType,routine.setDayType(t)
today College mark karo,hinglish,routine.setType,routine.setDayType(t)
jarvis today College mark karo,hinglish,routine.setType,routine.setDayType(t)
today College mark karo jarvis,hinglish,routine.setType,routine.setDayType(t)
today Holiday mark karo,hinglish,routine.setType,routine.setDayType(t)
jarvis today Holiday mark karo,hinglish,routine.setType,routine.setDayType(t)
today Holiday mark karo jarvis,hinglish,routine.setType,routine.setDayType(t)
din College set karo,hinglish,routine.setType,routine.setDayType(t)
jarvis din College set karo,hinglish,routine.setType,routine.setDayType(t)
din College set karo jarvis,hinglish,routine.setType,routine.setDayType(t)
din Holiday set karo,hinglish,routine.setType,routine.setDayType(t)
jarvis din Holiday set karo,hinglish,routine.setType,routine.setDayType(t)
din Holiday set karo jarvis,hinglish,routine.setType,routine.setDayType(t)
log 25 hours of study,en,routine.logHours,routine.setHours(n)
jarvis log 25 hours of study,en,routine.logHours,routine.setHours(n)
log 25 hours of study jarvis,en,routine.logHours,routine.setHours(n)
log 30 hours of study,en,routine.logHours,routine.setHours(n)
jarvis log 30 hours of study,en,routine.logHours,routine.setHours(n)
log 30 hours of study jarvis,en,routine.logHours,routine.setHours(n)
i studied 25 hours,en,routine.logHours,routine.setHours(n)
jarvis i studied 25 hours,en,routine.logHours,routine.setHours(n)
i studied 25 hours jarvis,en,routine.logHours,routine.setHours(n)
i studied 30 hours,en,routine.logHours,routine.setHours(n)
jarvis i studied 30 hours,en,routine.logHours,routine.setHours(n)
i studied 30 hours jarvis,en,routine.logHours,routine.setHours(n)
record 25 hours,en,routine.logHours,routine.setHours(n)
jarvis record 25 hours,en,routine.logHours,routine.setHours(n)
record 25 hours jarvis,en,routine.logHours,routine.setHours(n)
record 30 hours,en,routine.logHours,routine.setHours(n)
jarvis record 30 hours,en,routine.logHours,routine.setHours(n)
record 30 hours jarvis,en,routine.logHours,routine.setHours(n)
25 घंटे पढ़ाई दर्ज करो,hi,routine.logHours,routine.setHours(n)
jarvis 25 घंटे पढ़ाई दर्ज करो,hi,routine.logHours,routine.setHours(n)
25 घंटे पढ़ाई दर्ज करो jarvis,hi,routine.logHours,routine.setHours(n)
30 घंटे पढ़ाई दर्ज करो,hi,routine.logHours,routine.setHours(n)
jarvis 30 घंटे पढ़ाई दर्ज करो,hi,routine.logHours,routine.setHours(n)
30 घंटे पढ़ाई दर्ज करो jarvis,hi,routine.logHours,routine.setHours(n)
मैंने 25 घंटे पढ़ा,hi,routine.logHours,routine.setHours(n)
jarvis मैंने 25 घंटे पढ़ा,hi,routine.logHours,routine.setHours(n)
मैंने 25 घंटे पढ़ा jarvis,hi,routine.logHours,routine.setHours(n)
मैंने 30 घंटे पढ़ा,hi,routine.logHours,routine.setHours(n)
jarvis मैंने 30 घंटे पढ़ा,hi,routine.logHours,routine.setHours(n)
मैंने 30 घंटे पढ़ा jarvis,hi,routine.logHours,routine.setHours(n)
25 घंटे रिकॉर्ड करो,hi,routine.logHours,routine.setHours(n)
jarvis 25 घंटे रिकॉर्ड करो,hi,routine.logHours,routine.setHours(n)
25 घंटे रिकॉर्ड करो jarvis,hi,routine.logHours,routine.setHours(n)
30 घंटे रिकॉर्ड करो,hi,routine.logHours,routine.setHours(n)
jarvis 30 घंटे रिकॉर्ड करो,hi,routine.logHours,routine.setHours(n)
30 घंटे रिकॉर्ड करो jarvis,hi,routine.logHours,routine.setHours(n)
25 ghante padhai log karo,hinglish,routine.logHours,routine.setHours(n)
jarvis 25 ghante padhai log karo,hinglish,routine.logHours,routine.setHours(n)
25 ghante padhai log karo jarvis,hinglish,routine.logHours,routine.setHours(n)
30 ghante padhai log karo,hinglish,routine.logHours,routine.setHours(n)
jarvis 30 ghante padhai log karo,hinglish,routine.logHours,routine.setHours(n)
30 ghante padhai log karo jarvis,hinglish,routine.logHours,routine.setHours(n)
maine 25 ghante padha,hinglish,routine.logHours,routine.setHours(n)
jarvis maine 25 ghante padha,hinglish,routine.logHours,routine.setHours(n)
maine 25 ghante padha jarvis,hinglish,routine.logHours,routine.setHours(n)
maine 30 ghante padha,hinglish,routine.logHours,routine.setHours(n)
jarvis maine 30 ghante padha,hinglish,routine.logHours,routine.setHours(n)
maine 30 ghante padha jarvis,hinglish,routine.logHours,routine.setHours(n)
25 hours record karo,hinglish,routine.logHours,routine.setHours(n)
jarvis 25 hours record karo,hinglish,routine.logHours,routine.setHours(n)
25 hours record karo jarvis,hinglish,routine.logHours,routine.setHours(n)
30 hours record karo,hinglish,routine.logHours,routine.setHours(n)
jarvis 30 hours record karo,hinglish,routine.logHours,routine.setHours(n)
30 hours record karo jarvis,hinglish,routine.logHours,routine.setHours(n)
mark Polity lecture 12 done,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis mark Polity lecture 12 done,en,lecture.markDone,"lectures.markDone(sub,num)"
mark Polity lecture 12 done jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
mark Polity lecture 5 done,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis mark Polity lecture 5 done,en,lecture.markDone,"lectures.markDone(sub,num)"
mark Polity lecture 5 done jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
mark Economy lecture 12 done,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis mark Economy lecture 12 done,en,lecture.markDone,"lectures.markDone(sub,num)"
mark Economy lecture 12 done jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
mark Economy lecture 5 done,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis mark Economy lecture 5 done,en,lecture.markDone,"lectures.markDone(sub,num)"
mark Economy lecture 5 done jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 12 complete,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity lecture 12 complete,en,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 12 complete jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 5 complete,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity lecture 5 complete,en,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 5 complete jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 12 complete,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy lecture 12 complete,en,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 12 complete jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 5 complete,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy lecture 5 complete,en,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 5 complete jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
finished Polity 12,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis finished Polity 12,en,lecture.markDone,"lectures.markDone(sub,num)"
finished Polity 12 jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
finished Polity 5,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis finished Polity 5,en,lecture.markDone,"lectures.markDone(sub,num)"
finished Polity 5 jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
finished Economy 12,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis finished Economy 12,en,lecture.markDone,"lectures.markDone(sub,num)"
finished Economy 12 jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
finished Economy 5,en,lecture.markDone,"lectures.markDone(sub,num)"
jarvis finished Economy 5,en,lecture.markDone,"lectures.markDone(sub,num)"
finished Economy 5 jarvis,en,lecture.markDone,"lectures.markDone(sub,num)"
Polity लेक्चर 12 पूरा,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity लेक्चर 12 पूरा,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity लेक्चर 12 पूरा jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity लेक्चर 5 पूरा,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity लेक्चर 5 पूरा,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity लेक्चर 5 पूरा jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy लेक्चर 12 पूरा,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy लेक्चर 12 पूरा,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy लेक्चर 12 पूरा jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy लेक्चर 5 पूरा,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy लेक्चर 5 पूरा,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy लेक्चर 5 पूरा jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity लेक्चर 12 हो गया,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity लेक्चर 12 हो गया,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity लेक्चर 12 हो गया jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity लेक्चर 5 हो गया,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity लेक्चर 5 हो गया,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity लेक्चर 5 हो गया jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy लेक्चर 12 हो गया,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy लेक्चर 12 हो गया,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy लेक्चर 12 हो गया jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy लेक्चर 5 हो गया,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy लेक्चर 5 हो गया,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy लेक्चर 5 हो गया jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity 12 खत्म,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity 12 खत्म,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity 12 खत्म jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity 5 खत्म,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity 5 खत्म,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity 5 खत्म jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy 12 खत्म,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy 12 खत्म,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy 12 खत्म jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy 5 खत्म,hi,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy 5 खत्म,hi,lecture.markDone,"lectures.markDone(sub,num)"
Economy 5 खत्म jarvis,hi,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 12 done,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity lecture 12 done,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 12 done jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 5 done,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity lecture 5 done,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 5 done jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 12 done,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy lecture 12 done,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 12 done jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 5 done,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy lecture 5 done,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 5 done jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 12 ho gaya,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity lecture 12 ho gaya,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 12 ho gaya jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 5 ho gaya,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity lecture 5 ho gaya,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity lecture 5 ho gaya jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 12 ho gaya,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy lecture 12 ho gaya,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 12 ho gaya jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 5 ho gaya,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy lecture 5 ho gaya,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy lecture 5 ho gaya jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity 12 complete,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity 12 complete,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity 12 complete jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity 5 complete,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Polity 5 complete,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Polity 5 complete jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy 12 complete,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
jarvis Economy 12 complete,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy 12 complete jarvis,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
Economy 5 complete,hinglish,lecture.markDone,"lectures.markDone(sub,num)"
